ip	name
100.64.253.32	Eth1-6_2.Service.DOP-ROB-DEIXN102
100.64.253.34	Eth1-7_2.Service.DOP-ROB-DEIXN102
100.64.253.13	Eth1-10_2.Service.DOP-ROB-DEIXN102
100.70.0.13	Eth1-12_2.Service.DOP-ROB-DEIXN102
100.70.5.20	Lo600.TOOLS.DOP-ROB-DEIXN102
100.70.5.7	Eth1-1_6.TOOLS.DOP-ROB-DEIXN102
100.70.5.5	Eth1-2_6.TOOLS.DOP-ROB-DEIXN102
100.70.5.26	Eth1-10_7.TOOLS.DOP-ROB-DEIXN102
10.110.9.5	Eth1-1_2.VRF-OoB.DOP-ROB-DEIXN102
10.110.9.11	Eth1-2_2.VRF-OoB.DOP-ROB-DEIXN102
10.110.9.18	Eth1-9.VRF-OoB.DOP-ROB-DEIXN102
10.110.9.136	Eth1-10_5.VRF-OoB.DOP-ROB-DEIXN102
10.110.1.249	Lo0.default.DOP-ROB-DENUE201
10.110.1.105	Lo1.default.DOP-ROB-DENUE201
10.110.8.7	Eth1-1.default.DOP-ROB-DENUE201
10.110.8.13	Eth1-3.default.DOP-ROB-DENUE201
10.110.10.34	Eth1-36.default.DOP-ROB-DENUE201
10.110.10.51	Eth1-34-1_3254.default.DOP-ROB-DENUE201
10.110.8.32	Eth1-34-2.default.DOP-ROB-DENUE201
10.110.1.240	Lo100.Service.DOP-ROB-DENUE201
100.64.254.7	Eth1-1_1.Service.DOP-ROB-DENUE201
100.64.254.13	Eth1-3_1.Service.DOP-ROB-DENUE201
100.64.0.122	Eth1-34-1_3010.Service.DOP-ROB-DENUE201
100.70.5.21	Lo600.TOOLS.DOP-ROB-DENUE201
100.70.5.13	Eth1-1_6.TOOLS.DOP-ROB-DENUE201
100.70.5.11	Eth1-3_6.TOOLS.DOP-ROB-DENUE201
10.110.9.7	Eth1-1_2.VRF-OoB.DOP-ROB-DENUE201
10.110.9.13	Eth1-3_2.VRF-OoB.DOP-ROB-DENUE201
10.1.254.3	Eth1-34-1_131.VRF-OoB.DOP-ROB-DENUE201
10.1.254.3	Eth1-34-1_131.OPS-MGMT.DOP-ROB-DENUE201
100.70.3.38	Lo5.OPS-MGMT.DOP-ROB-DENUE201
100.70.3.13	Eth1-1_5.OPS-MGMT.DOP-ROB-DENUE201
100.70.3.11	Eth1-3_5.OPS-MGMT.DOP-ROB-DENUE201
10.110.1.250	Lo0.default.DOP-ROB-DENUE301
10.110.1.104	Lo1.default.DOP-ROB-DENUE301
10.110.8.6	Eth1-1.default.DOP-ROB-DENUE301
10.110.8.15	Eth1-3.default.DOP-ROB-DENUE301
10.110.10.36	Eth1-35.default.DOP-ROB-DENUE301
10.110.10.50	Eth1-34-1_3234.default.DOP-ROB-DENUE301
10.110.8.34	Eth1-34-2.default.DOP-ROB-DENUE301
10.110.1.239	Lo100.Service.DOP-ROB-DENUE301
100.64.254.6	Eth1-1_1.Service.DOP-ROB-DENUE301
100.64.254.15	Eth1-3_1.Service.DOP-ROB-DENUE301
100.64.0.123	Eth1-34-1_3010.Service.DOP-ROB-DENUE301
100.70.5.22	Lo600.TOOLS.DOP-ROB-DENUE301
100.70.5.12	Eth1-1_6.TOOLS.DOP-ROB-DENUE301
100.70.5.9	Eth1-3_6.TOOLS.DOP-ROB-DENUE301
10.110.9.6	Eth1-1_2.VRF-OoB.DOP-ROB-DENUE301
10.110.9.15	Eth1-3_2.VRF-OoB.DOP-ROB-DENUE301
10.1.254.2	Eth1-34-1_131.VRF-OoB.DOP-ROB-DENUE301
10.1.254.2	Eth1-34-1_131.OPS-MGMT.DOP-ROB-DENUE301
100.70.3.37	Lo5.OPS-MGMT.DOP-ROB-DENUE301
100.70.3.12	Eth1-1_5.OPS-MGMT.DOP-ROB-DENUE301
100.70.3.9	Eth1-3_5.OPS-MGMT.DOP-ROB-DENUE301
